,date,newCasesBySpecimenDate,newAdmissions,casesshifted,ratio,average,0-64,65+,0-64admissions,65+admissions,0-64admissionsnew,65+admissionsnew,casesshifted0-64,ratio0-64,average0-64,casesshifted65+,ratio65+,average65+
90,2021-07-15,56368,658.0,29532.0,2.2280915616957877,2.4635383071911314,50251.0,1581.0,156783.0,251198.0,470.0,188.0,16860.0,27.876631079478056,21.60516487417613,958.0,196.24217118997913,166.06519975780503
91,2021-07-14,49287,636.0,21323.0,2.9826947427660273,2.4266185969182783,43978.0,1428.0,156313.0,251010.0,447.0,189.0,17294.0,25.84711460622181,20.483260432959195,1013.0,186.57453109575516,152.58532095598272
92,2021-07-13,42314,621.0,20208.0,3.0730403800475057,2.4312289457783263,37687.0,1243.0,155866.0,250821.0,443.0,178.0,20773.0,21.325759399220143,19.252218366610002,1239.0,143.66424535916062,140.63295998994798
93,2021-07-12,39640,610.0,21744.0,2.8053715967623254,2.4417270044911246,35189.0,1338.0,155423.0,250643.0,419.0,191.0,23658.0,17.710710964578578,17.752561593026705,1268.0,150.63091482649844,134.65573245452177
94,2021-07-11,26939,502.0,23615.0,2.1257675206436586,2.428163471204951,23914.0,862.0,155004.0,250452.0,343.0,159.0,26940.0,12.73199703043801,15.419495605440698,1464.0,108.60655737704917,124.19838690611004
95,2021-07-10,24924,442.0,23407.0,1.8883240056393387,2.439827734981947,22029.0,899.0,154661.0,250293.0,315.0,127.0,30641.0,10.28034333083124,13.241254552540378,1561.0,81.35810377962845,111.47971955659115
96,2021-07-09,28464,451.0,22677.0,1.9887992238832297,2.497245118365579,25197.0,966.0,154346.0,250166.0,315.0,136.0,37079.0,8.495374740419104,11.195902177061374,1801.0,75.51360355358135,103.48608886941477
97,2021-07-08,29276,488.0,22877.0,2.133146828692573,2.505793619212821,26139.0,863.0,154031.0,250030.0,331.0,157.0,28670.0,11.545169166376002,9.476019028521222,1276.0,123.04075235109718,93.80437961300437
98,2021-07-07,33512,461.0,15044.0,3.0643445892049987,2.580863637386384,30027.0,886.0,153700.0,249873.0,322.0,139.0,30379.0,10.59942723591955,8.560211236948154,1425.0,97.54385964912281,89.49363892328586
99,2021-07-06,30961,458.0,13180.0,3.474962063732929,2.6315395730887015,27785.0,863.0,153378.0,249734.0,311.0,147.0,44376.0,7.008292770867135,7.933108677486435,1676.0,87.70883054892602,88.55947928668336
100,2021-07-05,29532,416.0,14519.0,2.865211102693023,2.6792491317516283,26551.0,820.0,153067.0,249587.0,285.0,131.0,50251.0,5.671528924797516,7.543604888800003,1581.0,82.85895003162555,88.02166148242415
101,2021-07-04,21323,390.0,14710.0,2.6512576478586,2.7141838724672525,19256.0,583.0,152782.0,249456.0,278.0,112.0,43978.0,6.321342489426531,7.035288329195254,1428.0,78.43137254901961,86.85143799441525
102,2021-07-03,20208,323.0,14400.0,2.2430555555555554,2.8670488169521886,18161.0,593.0,152504.0,249344.0,222.0,93.0,37687.0,5.8906254145991985,7.025594726735692,1243.0,74.81898632341111,88.33055291185345
103,2021-07-02,21744,307.0,13217.0,2.3227661345237194,2.9531699218861833,19622.0,662.0,152282.0,249251.0,203.0,96.0,35189.0,5.768848219614084,7.11864461959403,1338.0,71.74887892376681,88.66673594789862
104,2021-07-01,23615,295.0,12407.0,2.3776900137019426,2.953696999598383,21425.0,622.0,152079.0,249155.0,191.0,99.0,23914.0,7.986953249142762,7.264851466695612,862.0,114.8491879350348,87.92062207978192
105,2021-06-30,23407,331.0,8006.0,4.1343992005995505,2.925953890149071,21185.0,573.0,151888.0,249056.0,232.0,97.0,22029.0,10.531572018702619,7.137295072545535,899.0,107.8976640711902,86.87415383108292
106,2021-06-29,22677,283.0,6940.0,4.077809798270893,2.953530740931625,20602.0,599.0,151656.0,248959.0,193.0,87.0,25197.0,7.659642020875501,7.128703452480039,966.0,90.06211180124224,85.95232214806624
107,2021-06-28,22877,244.0,8505.0,2.8689006466784246,2.9535582865054963,20887.0,557.0,151463.0,248872.0,175.0,67.0,26139.0,6.694976854508589,7.090132459302631,863.0,77.63615295480881,85.63279589066401
