date,Overseas,UK,UK average,Overseas average,ratio,ratio average
2020-12-17,27,221,127.0,21.714285714285715,8.185185185185185,6.8063972401150155
2020-12-18,32,311,151.85714285714286,22.714285714285715,9.71875,6.4966291164476395
2020-12-19,31,198,164.0,23.571428571428573,6.387096774193548,6.367321148429994
2020-12-20,20,122,165.42857142857142,23.857142857142858,6.1,6.215620468157884
2020-12-21,21,158,174.42857142857142,24.571428571428573,7.523809523809524,6.166300740266728
2020-12-22,27,180,185.85714285714286,25.571428571428573,6.666666666666667,6.167324805806923
2020-12-23,22,187,196.71428571428572,25.714285714285715,8.5,6.35868283049828
2020-12-24,30,182,191.14285714285714,26.142857142857142,6.066666666666666,6.419328698040699
2020-12-25,17,75,157.42857142857142,24.0,4.411764705882353,6.411158763400178
2020-12-26,39,228,161.71428571428572,25.142857142857142,5.846153846153846,6.481754833996248
2020-12-27,33,106,159.42857142857142,27.0,3.212121212121212,6.364036295225079
2020-12-28,41,166,160.57142857142858,29.857142857142858,4.048780487804878,6.25789356713113
2020-12-29,20,118,151.71428571428572,28.857142857142858,5.9,6.2293221385597
2020-12-30,21,175,150.0,28.714285714285715,8.333333333333334,6.145988805226367
2020-12-31,21,180,149.71428571428572,27.428571428571427,8.571428571428571,6.281771118151537
2021-01-01,22,161,162.0,28.142857142857142,7.318181818181818,6.369303585684006
2021-01-02,32,159,152.14285714285714,27.142857142857142,4.96875,6.390672633303053
2021-01-03,27,128,155.28571428571428,26.285714285714285,4.7407407407407405,6.32012589608965
2021-01-04,32,206,161.0,25.0,6.4375,6.343935419899173
2021-01-05,18,112,160.14285714285714,24.714285714285715,6.222222222222222,6.40213647810023
2021-01-06,23,141,155.28571428571428,25.0,6.130434782608695,6.4423612636666325
2021-01-07,39,173,154.28571428571428,27.571428571428573,4.435897435897436,6.263823751795787
2021-01-08,21,113,147.42857142857142,27.428571428571427,5.380952380952381,6.057261960412567
2021-01-09,30,157,147.14285714285714,27.142857142857142,5.233333333333333,6.002320844181128
2021-01-10,26,151,150.42857142857142,27.0,5.8076923076923075,5.988401430261714
2021-01-11,17,117,137.71428571428572,24.857142857142858,6.882352941176471,5.9578558787077585
2021-01-12,23,107,137.0,25.571428571428573,4.6521739130434785,5.86192765234475
2021-01-13,37,150,138.28571428571428,27.571428571428573,4.054054054054054,5.6502159406330374
2021-01-14,43,162,136.71428571428572,28.142857142857142,3.7674418604651163,5.540729045099631
2021-01-15,15,125,138.42857142857142,27.285714285714285,8.333333333333334,5.727470408311582
2021-01-16,25,151,137.57142857142858,26.571428571428573,6.04,5.7367011775423515
2021-01-17,29,110,131.71428571428572,27.0,3.793103448275862,5.764366998311621
2021-01-18,48,186,141.57142857142858,31.428571428571427,3.875,5.756091736987579
2021-01-19,24,144,146.85714285714286,31.571428571428573,6.0,5.760853641749484
2021-01-20,42,162,148.57142857142858,32.285714285714285,3.857142857142857,5.547701714311843
2021-01-21,62,222,157.14285714285714,35.0,3.5806451612903225,5.3100453614481165
2021-01-22,58,238,173.28571428571428,41.142857142857146,4.103448275862069,5.156962811813842
2021-01-23,55,269,190.14285714285714,45.42857142857143,4.890909090909091,5.1532561018571315
2021-01-24,76,285,215.14285714285714,52.142857142857146,3.75,5.106077971345668
2021-01-25,40,98,202.57142857142858,51.0,2.45,4.916197018964716
2021-01-26,27,111,197.85714285714286,51.42857142857143,4.111111111111111,4.815667918435615
2021-01-27,38,682,272.14285714285717,50.857142857142854,17.94736842105263,5.378379044075803
2021-01-28,30,252,276.42857142857144,46.285714285714285,8.4,5.567145832842591
2021-01-29,30,196,270.42857142857144,42.285714285714285,6.533333333333333,5.622021116289303
2021-01-30,30,220,263.42857142857144,38.714285714285715,7.333333333333333,5.722021116289303
2021-01-31,31,164,246.14285714285714,32.285714285714285,5.290322580645161,5.697384462620391
2021-02-01,23,189,259.14285714285717,29.857142857142858,8.217391304347826,5.760957718009504
2021-02-02,26,124,261.0,29.714285714285715,4.769230769230769,5.766531854018423
2021-02-03,40,186,190.14285714285714,30.0,4.65,5.794910232396801
2021-02-04,37,175,179.14285714285714,31.0,4.72972972972973,5.8407334642665445
2021-02-05,33,270,189.71428571428572,31.428571428571427,8.181818181818182,5.833518457051538
2021-02-06,28,183,184.42857142857142,31.142857142857142,6.535714285714286,5.857123899228408
2021-02-07,24,148,182.14285714285714,30.142857142857142,6.166666666666667,5.970150719151779
2021-02-08,27,173,179.85714285714286,30.714285714285715,6.407407407407407,6.0907415480759415
2021-02-09,19,131,180.85714285714286,29.714285714285715,6.894736842105263,6.133348064366668
2021-02-10,38,194,182.0,29.428571428571427,5.105263157894737,6.192782364402472
2021-02-11,36,342,205.85714285714286,29.285714285714285,9.5,6.474656404341028
2021-02-12,37,324,213.57142857142858,29.857142857142858,8.756756756756756,6.696242522478871
2021-02-13,31,238,221.42857142857142,30.285714285714285,7.67741935483871,6.8289334874279
2021-02-14,29,183,226.42857142857142,31.0,6.310344827586207,6.950854669693909
2021-02-15,31,140,221.71428571428572,31.571428571428573,4.516129032258065,7.049241766468104
2021-02-16,27,148,224.14285714285714,32.714285714285715,5.481481481481482,7.114497498390501
