,Date,Evening Blend,Lunchtime
624,04/04/2023,139437,119928
625,05/04/2023,139408,119923
626,06/04/2023,139437,119936
627,07/04/2023,139436,120008
628,08/04/2023,139465,120059
629,09/04/2023,139459,120060
630,10/04/2023,139433,120086
631,11/04/2023,139379,120035
632,12/04/2023,139380,120059
633,13/04/2023,139378,120065
634,14/04/2023,139404,120100
635,15/04/2023,139382,120119
636,16/04/2023,139408,120148
637,17/04/2023,139383,120099
638,18/04/2023,139384,120099
639,19/04/2023,139355,120134
640,20/04/2023,139375,120126
641,21/04/2023,139336,120116
642,22/04/2023,139305,120160
643,23/04/2023,139370,120230
644,24/04/2023,139397,120212
645,25/04/2023,139383,120190
646,26/04/2023,139326,120166
647,27/04/2023,139319,120149
648,28/04/2023,139292,120134
649,29/04/2023,139293,120182
650,30/04/2023,139352,120242
651,01/05/2023,139351,120308
652,02/05/2023,139334,120253
653,03/05/2023,139262,120237
654,04/05/2023,139274,120233
655,05/05/2023,139267,120224
656,06/05/2023,139292,120277
657,07/05/2023,139354,120346
658,08/05/2023,139385,120431
659,09/05/2023,139209,120332
660,10/05/2023,139182,120364
661,11/05/2023,139159,120365
662,12/05/2023,139153,120444
663,13/05/2023,139186,120525
664,14/05/2023,139286,120637
665,15/05/2023,139285,120601
666,16/05/2023,139292,120584
667,17/05/2023,139241,120537
668,18/05/2023,139197,120540
669,19/05/2023,139211,120442
670,20/05/2023,139152,120494
671,21/05/2023,139228,120568
672,22/05/2023,139260,120576
673,23/05/2023,139239,120583
674,24/05/2023,139227,120583
675,25/05/2023,139300,120616
676,26/05/2023,139270,120642
677,27/05/2023,139321,120716
678,28/05/2023,139421,120812
679,29/05/2023,139522,120918
680,30/05/2023,139524,120956
681,31/05/2023,139559,120998
682,01/06/2023,139589,121066
683,02/06/2023,139684,121135
684,03/06/2023,139795,121271
685,04/06/2023,139880,121352
686,05/06/2023,139928,121354
687,06/06/2023,140013,121438
688,07/06/2023,140009,121458
689,08/06/2023,140048,121483
690,09/06/2023,140102,121518
691,10/06/2023,140223,121684
692,11/06/2023,140342,121800
693,12/06/2023,140480,121831
694,13/06/2023,140430,121871
695,14/06/2023,140487,121883
696,15/06/2023,140556,121992
697,16/06/2023,140675,122104
698,17/06/2023,140788,122245
699,18/06/2023,140875,122331
700,19/06/2023,141011,122352
701,20/06/2023,140928,122359
702,21/06/2023,140957,122392
703,22/06/2023,141037,122460
704,23/06/2023,141075,122482
705,24/06/2023,141079,122556
706,25/06/2023,141069,122615
707,26/06/2023,141139,122598
708,27/06/2023,141132,122618
709,28/06/2023,141101,122581
710,29/06/2023,141095,122598
711,30/06/2023,141163,122639
712,01/07/2023,141199,122707
713,02/07/2023,141261,122768
714,03/07/2023,141329,122717
715,04/07/2023,141275,122748
716,05/07/2023,141290,122757
717,06/07/2023,141335,122787
718,07/07/2023,141304,122796
719,08/07/2023,141329,122856
720,09/07/2023,141388,122908
721,10/07/2023,141442,122918
722,11/07/2023,141437,122934
723,12/07/2023,141456,122933
724,13/07/2023,141468,122959
725,14/07/2023,141536,122959
726,15/07/2023,141531,123032
727,16/07/2023,141609,123105
728,17/07/2023,141633,123099
729,18/07/2023,141655,123068
730,19/07/2023,141619,123044
731,20/07/2023,141632,123070
732,21/07/2023,141655,123062
733,22/07/2023,141634,123119
734,23/07/2023,141687,123169
735,24/07/2023,141758,123130
736,25/07/2023,141661,123142
737,26/07/2023,141665,123123
738,27/07/2023,141679,123113
739,28/07/2023,141721,123044
740,29/07/2023,141721,123025
741,30/07/2023,141780,123033
742,31/07/2023,141826,122943
743,01/08/2023,141825,122871
744,02/08/2023,141796,122797
745,03/08/2023,141803,122717
746,04/08/2023,141784,122650
747,05/08/2023,141813,122640
748,06/08/2023,141876,122636
749,07/08/2023,141874,122549
750,08/08/2023,141941,122487
