date,unique page views,ga:users,pageviews per subscriber,average
2020-11-18,48304,15015,3.217049617049617,3.3112273099220952
2020-11-19,70056,18458,3.7954274569292448,3.29830378717162
2020-11-20,47861,15610,3.066047405509289,3.243437616583041
2020-11-21,37337,14389,2.594829383556884,3.1666429261324276
2020-11-22,30615,11379,2.6904824677036645,3.108738332267314
2020-11-23,42489,14546,2.9210092121545443,3.0571016683873045
2020-11-24,48552,15111,3.2130236251737143,3.071124166868137
2020-11-25,49153,14766,3.3287958824326154,3.0870879190657083
2020-11-26,65447,16966,3.8575386066250146,3.095960940450818
2020-11-27,55257,16389,3.3715907010799926,3.1396099826752044
2020-11-28,49572,16049,3.088790578852265,3.210175867717402
2020-11-29,32109,12276,2.6155913978494625,3.1994771434525155
2020-11-30,45948,15496,2.9651522973670623,3.205783298482875
2020-12-01,47528,14737,3.2250797312885933,3.2075055993564296
2020-12-02,46205,13864,3.332732256203116,3.208067938466501
2020-12-03,60853,16051,3.791227960874712,3.1985949890736007
2020-12-04,41302,12599,3.2781966822763713,3.185252986387369
2020-12-05,39784,12713,3.1293951073704083,3.191053633318532
2020-12-06,28348,10044,2.8223815213062524,3.220595079526645
2020-12-07,39146,13085,2.991669850974398,3.2243833014705503
2020-12-08,55515,15211,3.6496614292288476,3.285037829747729
2020-12-09,57100,15751,3.625166656085328,3.326814172588045
2020-12-10,68409,17494,3.9104264319195154,3.343842525594446
2020-12-11,51303,15721,3.2633420265886395,3.3417204319247698
2020-12-12,41481,14465,2.867680608365019,3.304332646352571
2020-12-13,33230,11427,2.908024853417345,3.316567408082728
2020-12-14,44950,14738,3.049938933369521,3.3248915627106017
2020-12-15,50572,15510,3.2606060606060607,3.2693122243359185
2020-12-16,45881,14396,3.1870658516254515,3.2067263951273643
2020-12-17,61963,16240,3.8154556650246305,3.1931591427138093
2020-12-18,50175,15288,3.2819858712715857,3.1958225490970875
2020-12-19,47951,16142,2.970573658778342,3.2105215562989904
2020-12-20,33996,12496,2.720550576184379,3.1837395166942812
2020-12-21,55905,15562,3.5924045752473974,3.261234608391121
2020-12-22,46538,13498,3.447770040005927,3.287972319733959
2020-12-23,47381,14453,3.27828132567633,3.301003101741227
2020-12-24,61840,15604,3.963086388105614,3.322093205038511
2020-12-25,33891,11063,3.063454759106933,3.2908744747292746
2020-12-26,55068,16544,3.32857833655706,3.3420180001262345
2020-12-27,40637,12290,3.3065093572009765,3.4257263974143197
2020-12-28,46620,12472,3.737973059653624,3.446521895186638
2020-12-29,50961,12912,3.946793680297398,3.5178109866568477
2020-12-30,56961,14243,3.9992276907954785,3.6208033245310114
2020-12-31,44521,13118,3.3938862631498705,3.5394890209659056
2021-01-01,39591,11880,3.3325757575757575,3.5779348778900237
2021-01-02,54592,16405,3.327765925022859,3.577818819099423
2021-01-03,40750,13177,3.0925096759505197,3.5472474360636435
2021-01-04,47402,15326,3.0929140023489494,3.4550961421629762
2021-01-05,65033,17360,3.7461405529953917,3.4264314096912614
2021-01-06,52779,16840,3.134144893111639,3.3028481528792843
2021-01-07,75956,18773,4.046023544452138,3.3960106216367505
2021-01-08,54769,16433,3.3328667924298667,3.3960521980444804
2021-01-09,61836,16601,3.7248358532618515,3.4527764735071935
2021-01-10,35596,12612,2.8223913732952743,3.4141881445564444
2021-01-11,54196,16554,3.273891506584511,3.440042073732953
2021-01-12,56603,16791,3.3710321005300456,3.386455151952189
2021-01-13,69491,18626,3.730860088048964,3.471700179800379
2021-01-14,75414,19207,3.926381006924559,3.4546083887250103
2021-01-15,20801,8897,2.337979094076655,3.312481574674551
2021-01-16,1197,646,1.8529411764705883,3.0450680494186564
