date,0,magazine,unique page views,magazinepercentofviews,magazineaverage
2020-11-30,72155,6479,78634,8.23943841086553,13.53635633104098
2020-12-01,73706,4229,77935,5.4263168024635915,13.45354955068508
2020-12-02,70384,3851,74235,5.187579982488045,13.604182832741218
2020-12-03,60689,32676,93365,34.99812563594495,13.75528946822347
2020-12-04,55277,13936,69213,20.134945747186222,13.882705129846126
2020-12-05,56765,6179,62944,9.816662430096594,13.719627016001743
2020-12-06,42026,8179,50205,16.291206055173788,14.299182152031246
2020-12-07,63102,5629,68731,8.189899754113863,14.292105201066722
2020-12-08,82056,4187,86243,4.854886773419292,14.21047233977468
2020-12-09,85566,3702,89268,4.147062777255008,14.061827024741389
2020-12-10,76986,28941,105927,27.32164603925345,12.965187082356888
2020-12-11,71401,12527,83928,14.925888857115623,12.221036098061088
2020-12-12,60288,7357,67645,10.875896222928525,12.372355211322793
2020-12-13,52132,8031,60163,13.348735934045841,11.95200233687594
2020-12-14,67596,10126,77722,13.028486142919638,12.643228963848198
2020-12-15,77661,4633,82294,5.6298150533453235,12.75393300383763
2020-12-16,74095,3611,77706,4.647002805446169,12.825353007864939
2020-12-17,63717,33600,97317,34.52634174912914,13.854595252132894
2020-12-18,64866,17218,82084,20.976073290775304,14.718907314084277
2020-12-19,67226,9634,76860,12.534478272183192,14.955847606834942
2020-12-20,54075,7723,61798,12.49716819314541,14.834195072420597
2020-12-21,79808,10612,90420,11.736341517363416,14.649602983055422
2020-12-22,71527,7768,79295,9.796330159530866,15.244819426796214
2020-12-23,73717,6718,80435,8.35208553490396,15.774116959575895
2020-12-24,92209,4600,96809,4.751624332448429,11.520585900050081
2020-12-25,51919,4931,56850,8.673702726473174,9.763104390864063
2020-12-26,77216,6287,83503,7.529070811827119,9.048046182241768
2020-12-27,63528,4608,68136,6.762944698837618,8.228871397340654
2020-12-28,70573,6420,76993,8.338420375878327,7.743454091414214
2020-12-29,76425,5974,82399,7.25008798650469,7.379705209553331
2020-12-30,83566,5376,88942,6.044388477884464,7.050034201407689
2020-12-31,70710,3490,74200,4.703504043126685,7.043159874361725
2021-01-01,65426,3822,69248,5.5192929759704255,6.592529910004189
2021-01-02,80261,3478,83739,4.153381339638639,6.110288556834407
2021-01-03,64541,4298,68839,6.243553799445082,6.036089856921188
2021-01-04,81392,3195,84587,3.7771761618215565,5.384483540627364
2021-01-05,98621,1985,100606,1.9730433572550345,4.630620022163127
2021-01-06,85449,1499,86948,1.7240189538574782,4.013424375873557
2021-01-07,84175,33322,117497,28.359873018034502,7.3929056580032455
2021-01-08,71017,19018,90035,21.122896651302273,9.621991897336367
2021-01-09,81456,11238,92694,12.123762055796492,10.760617713930346
2021-01-10,53634,10233,63867,16.022358964723566,12.157589880398701
2021-01-11,80238,8896,89134,9.980478829627302,13.04377597579952
2021-01-12,85780,5602,91382,6.130310126720798,13.637671228580343
2021-01-13,100311,4745,105056,4.516638745050259,14.036616913036456
2021-01-14,78067,36755,114822,32.010416122345895,14.558123070795228
2021-01-15,27630,8006,35636,22.46604557189359,14.750001488022559
2021-01-16,1585,364,1949,18.676244227809132,15.686070369738648
2021-01-17,679,152,831,18.29121540312876,16.010192718082248
2021-01-18,694,99,793,12.484237074401008,16.367872467335634
2021-01-19,50039,3284,53323,6.15869324681657,16.37192719877789
2021-01-20,94398,3818,98216,3.887350329885151,16.2820288537543
2021-01-21,82856,37255,120111,31.01714247654253,16.140132618639534
2021-01-22,67930,19944,87874,22.69613309966543,16.173002265464085
2021-01-23,71374,10220,81594,12.525430791479767,15.294314631702745
2021-01-24,63322,8158,71480,11.412982652490207,14.311709953040095
2021-01-25,82998,7655,90653,8.444287558051029,13.734574307847241
2021-01-26,98213,5802,104015,5.578041628611258,13.651624076675054
2021-01-27,97970,4577,102547,4.463319258486353,13.733905352189511
2021-01-28,101507,28614,130121,21.99030133491135,12.444356617670772
2021-01-29,110269,14940,125209,11.932049613046985,10.906630405296706
2021-01-30,98890,9141,108031,8.461460136442318,10.326063168862786
2021-01-31,70411,10137,80548,12.58504245915479,10.493500284100582
2021-02-01,105478,9858,115336,8.547201220781023,10.508202235919153
2021-02-02,102926,5572,108498,5.135578536009881,10.444993222690385
2021-02-03,101625,3311,104936,3.1552565373179844,10.258127119666332
2021-02-04,87857,39530,127387,31.03142392865834,11.549716061630189
2021-02-05,88143,17903,106046,16.882296361956133,12.25689416861721
2021-02-06,83161,9468,92629,10.221420937287458,12.508317140166517
2021-02-07,64681,7462,72143,10.343345854760685,12.188074768110216
2021-02-08,85833,11492,97325,11.807860262008733,12.653883202571318
2021-02-09,88520,6625,95145,6.963056387618898,12.91495146708689
2021-02-10,95059,4799,99858,4.805824270464059,13.15074685753633
2021-02-11,87536,42186,129722,32.52031266862984,13.36344524896083
2021-02-12,91015,16566,107581,15.398629869586635,13.151492892908044
2021-02-13,76677,9022,85699,10.527544078694035,13.19522477025184
2021-02-14,66787,6650,73437,9.055380802592698,13.011229762799271
2021-02-15,102799,8798,111597,7.883724472880095,12.450638935780896
2021-02-16,99834,5451,105285,5.177375694543382,12.195541693912963
2021-02-17,97441,5430,102871,5.2784555414062275,12.263060446904703
2021-02-18,92087,34171,126258,27.06442364048219,11.483647728597893
2021-02-19,81543,17489,99032,17.659948299539543,11.806693218591166
2021-02-20,77385,8866,86251,10.279301109552353,11.771229937285213
2021-02-21,67616,5674,73290,7.741847455314504,11.58358231624547
2021-02-22,95591,4477,100068,4.473957708758045,11.096472778513748
2021-02-23,86979,5144,92123,5.583838997861554,11.15453896470206
2021-02-24,90378,3234,93612,3.454685296756826,10.894000358323572
2021-02-25,72387,42498,114885,36.99177438307873,12.31219332155165
2021-02-26,75103,16809,91912,18.288145182348334,12.401935733381476
2021-02-27,72504,10607,83111,12.762450217179437,12.756671320185346
2021-02-28,58750,8820,67570,13.053130087316855,13.515425981899968
2021-03-01,93953,8981,102934,8.725008257718537,14.122718917465752
2021-03-02,116609,4364,120973,3.607416530961454,13.840372850765737
2021-03-03,125202,2617,127819,2.047426438948826,13.639335871078881
2021-03-04,97431,45470,142901,31.81923149593075,12.900401172914885
2021-03-05,83157,20628,103785,19.875704581586934,13.127195372806113
2021-03-06,74924,14544,89468,16.256091563464032,13.626286993703914
2021-03-07,69487,8075,77562,10.411026017895361,13.248843555215128
2021-03-08,130383,5702,136085,4.190028291141566,12.60098927427556
2021-03-09,126524,5452,131976,4.131054131054131,12.675794645717373
2021-03-10,127485,3011,130496,2.307350416871015,12.7129266425634
2021-03-11,110991,56701,167692,33.81258497722014,12.99769142560474
2021-03-12,96250,24485,120735,20.279951960906118,13.055441051221766
2021-03-13,86780,14705,101485,14.489826082672316,12.803117411108664
2021-03-14,81617,13785,95402,14.449382612523848,13.380025496055591
2021-03-15,100949,8288,109237,7.587172844365921,13.865331860801927
2021-03-16,110727,4782,115509,4.139937147754721,13.866600863187726
2021-03-17,130150,3231,133381,2.422383997720815,13.883034231880554
2021-03-18,116819,52725,169544,31.09812202142217,13.495253809623701
2021-03-19,89175,19608,108783,18.024875210281017,13.17309998810583
2021-03-20,93206,12226,105432,11.596099855831246,12.759710527128535
